channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z
0.0,6.0,13.0,8.0,0.0,-4.0,0.0,-2.0,0.1928499523839789,0.5513812718661378,0.12337441910213398,0.061880536457185976,-0.03212393836067616,0.1909678716781978
-2.0,-21.0,-53.0,0.0,-9.0,-8.0,-3.0,-3.0,0.1985129383740134,0.5443035066494031,0.11752283623203308,0.060045117603259916,-0.02328583178145766,0.18544568559452107
-3.0,-1.0,1.0,-16.0,0.0,0.0,-2.0,-1.0,0.2060490064584226,0.5345413781162107,0.11035553690417155,0.0573370124423053,-0.014554114270631746,0.17999731823978038
-6.0,-12.0,-23.0,-16.0,-1.0,4.0,-1.0,-1.0,0.2146135271837315,0.5233276862321589,0.10254991071054453,0.053861952772218474,-0.0062036893602643445,0.17471698823953513
-5.0,32.0,-3.0,-6.0,1.0,0.0,-4.0,0.0,0.19544159198797428,0.5427587841371808,0.11705952862673974,0.08152332793267594,-0.026822683778206145,0.19440521052768245
4.0,5.0,4.0,-2.0,4.0,7.0,-1.0,4.0,0.1931911408275248,0.5460664881769957,0.12171629545930185,0.07750315771974267,-0.03721787447413938,0.19938881395835056
-13.0,4.0,4.0,8.0,-2.0,1.0,3.0,-4.0,0.1908862961276035,0.5499894037436254,0.12584002606671985,0.07262242759204329,-0.04472598853479925,0.20227778056290222
0.0,-7.0,-2.0,0.0,-7.0,-4.0,-5.0,-2.0,0.189060546398025,0.5535559022483751,0.12850368339907448,0.06828977776706775,-0.04768139085078925,0.20252943872624016
-2.0,-3.0,3.0,-6.0,-4.0,1.0,0.0,0.0,0.1883743087634452,0.5556260242514963,0.12909147103527618,0.0652292245422475,-0.04583436914434809,0.20027662042808497
-10.0,-29.0,13.0,6.0,7.0,4.0,-1.0,-3.0,0.189487449691576,0.5551323757185989,0.12735190533353435,0.06332964510182015,-0.0401325218140245,0.19614898327421612
-4.0,-12.0,-23.0,-8.0,-5.0,-8.0,0.0,-5.0,0.1928499523839789,0.5513812718661378,0.12337441910213398,0.061880536457185976,-0.03212393836067616,0.1909678716781978
-1.0,18.0,9.0,1.0,-4.0,-6.0,-4.0,0.0,0.1985129383740134,0.5443035066494031,0.11752283623203308,0.060045117603259916,-0.02328583178145766,0.18544568559452107
-13.0,-8.0,-36.0,-2.0,-1.0,2.0,-1.0,0.0,0.2060490064584226,0.5345413781162107,0.11035553690417155,0.0573370124423053,-0.014554114270631746,0.17999731823978038
0.0,10.0,25.0,2.0,3.0,1.0,0.0,1.0,0.2146135271837315,0.5233276862321589,0.10254991071054453,0.053861952772218474,-0.0062036893602643445,0.17471698823953513
-3.0,4.0,29.0,6.0,-4.0,2.0,-2.0,1.0,0.19544159198797428,0.5427587841371808,0.11705952862673974,0.08152332793267594,-0.026822683778206145,0.19440521052768245
-2.0,-11.0,-77.0,-3.0,4.0,3.0,-3.0,4.0,0.1931911408275248,0.5460664881769957,0.12171629545930185,0.07750315771974267,-0.03721787447413938,0.19938881395835056
-1.0,2.0,15.0,6.0,1.0,-3.0,1.0,-1.0,0.1908862961276035,0.5499894037436254,0.12584002606671985,0.07262242759204329,-0.04472598853479925,0.20227778056290222
1.0,-6.0,-7.0,-1.0,-3.0,-4.0,2.0,-5.0,0.189060546398025,0.5535559022483751,0.12850368339907448,0.06828977776706775,-0.04768139085078925,0.20252943872624016
-5.0,-11.0,-79.0,-15.0,-4.0,-3.0,-5.0,-3.0,0.1883743087634452,0.5556260242514963,0.12909147103527618,0.0652292245422475,-0.04583436914434809,0.20027662042808497
2.0,2.0,12.0,7.0,8.0,5.0,-1.0,1.0,0.189487449691576,0.5551323757185989,0.12735190533353435,0.06332964510182015,-0.0401325218140245,0.19614898327421612
2.0,2.0,14.0,-3.0,-1.0,-1.0,3.0,1.0,0.1928499523839789,0.5513812718661378,0.12337441910213398,0.061880536457185976,-0.03212393836067616,0.1909678716781978
-4.0,-8.0,8.0,9.0,-9.0,-7.0,-3.0,-6.0,0.1985129383740134,0.5443035066494031,0.11752283623203308,0.060045117603259916,-0.02328583178145766,0.18544568559452107
-8.0,-10.0,-3.0,-2.0,1.0,2.0,-6.0,-5.0,0.2060490064584226,0.5345413781162107,0.11035553690417155,0.0573370124423053,-0.014554114270631746,0.17999731823978038
7.0,9.0,1.0,0.0,2.0,3.0,1.0,1.0,0.2146135271837315,0.5233276862321589,0.10254991071054453,0.053861952772218474,-0.0062036893602643445,0.17471698823953513
-2.0,-8.0,-7.0,0.0,0.0,0.0,-1.0,-3.0,0.19544159198797428,0.5427587841371808,0.11705952862673974,0.08152332793267594,-0.026822683778206145,0.19440521052768245
-4.0,-4.0,6.0,5.0,-3.0,-3.0,1.0,-5.0,0.1931911408275248,0.5460664881769957,0.12171629545930185,0.07750315771974267,-0.03721787447413938,0.19938881395835056
-5.0,-12.0,-80.0,-7.0,-5.0,1.0,-2.0,-2.0,0.1908862961276035,0.5499894037436254,0.12584002606671985,0.07262242759204329,-0.04472598853479925,0.20227778056290222
2.0,51.0,-3.0,-12.0,3.0,4.0,-2.0,1.0,0.189060546398025,0.5535559022483751,0.12850368339907448,0.06828977776706775,-0.04768139085078925,0.20252943872624016
2.0,-13.0,2.0,2.0,1.0,-2.0,-3.0,1.0,0.1883743087634452,0.5556260242514963,0.12909147103527618,0.0652292245422475,-0.04583436914434809,0.20027662042808497
-11.0,0.0,3.0,4.0,-5.0,-1.0,2.0,-5.0,0.189487449691576,0.5551323757185989,0.12735190533353435,0.06332964510182015,-0.0401325218140245,0.19614898327421612
7.0,7.0,-1.0,-8.0,0.0,-3.0,-5.0,0.0,0.1928499523839789,0.5513812718661378,0.12337441910213398,0.061880536457185976,-0.03212393836067616,0.1909678716781978
2.0,10.0,27.0,3.0,3.0,0.0,-2.0,-2.0,0.1985129383740134,0.5443035066494031,0.11752283623203308,0.060045117603259916,-0.02328583178145766,0.18544568559452107
0.0,-19.0,0.0,-3.0,-1.0,-3.0,1.0,-4.0,0.2060490064584226,0.5345413781162107,0.11035553690417155,0.0573370124423053,-0.014554114270631746,0.17999731823978038
-2.0,-6.0,-14.0,-4.0,-2.0,-6.0,1.0,-2.0,0.2146135271837315,0.5233276862321589,0.10254991071054453,0.053861952772218474,-0.0062036893602643445,0.17471698823953513
3.0,1.0,4.0,7.0,0.0,-3.0,4.0,1.0,0.19544159198797428,0.5427587841371808,0.11705952862673974,0.08152332793267594,-0.026822683778206145,0.19440521052768245
0.0,-1.0,1.0,1.0,-6.0,-2.0,-3.0,-3.0,0.1931911408275248,0.5460664881769957,0.12171629545930185,0.07750315771974267,-0.03721787447413938,0.19938881395835056
-3.0,-2.0,6.0,-1.0,-3.0,-1.0,-1.0,2.0,0.1908862961276035,0.5499894037436254,0.12584002606671985,0.07262242759204329,-0.04472598853479925,0.20227778056290222
-7.0,14.0,-19.0,-8.0,3.0,2.0,-2.0,-1.0,0.189060546398025,0.5535559022483751,0.12850368339907448,0.06828977776706775,-0.04768139085078925,0.20252943872624016
-4.0,5.0,39.0,15.0,-1.0,-3.0,1.0,-2.0,0.1883743087634452,0.5556260242514963,0.12909147103527618,0.0652292245422475,-0.04583436914434809,0.20027662042808497
2.0,-10.0,21.0,-9.0,-7.0,-4.0,1.0,-4.0,0.189487449691576,0.5551323757185989,0.12735190533353435,0.06332964510182015,-0.0401325218140245,0.19614898327421612
0.0,-6.0,-20.0,-3.0,2.0,0.0,-1.0,1.0,0.1928499523839789,0.5513812718661378,0.12337441910213398,0.061880536457185976,-0.03212393836067616,0.1909678716781978
2.0,18.0,17.0,2.0,6.0,5.0,1.0,2.0,0.1985129383740134,0.5443035066494031,0.11752283623203308,0.060045117603259916,-0.02328583178145766,0.18544568559452107
6.0,-19.0,5.0,2.0,1.0,-5.0,-1.0,-4.0,0.2060490064584226,0.5345413781162107,0.11035553690417155,0.0573370124423053,-0.014554114270631746,0.17999731823978038
-5.0,-12.0,-15.0,-2.0,-5.0,-6.0,1.0,-3.0,0.2146135271837315,0.5233276862321589,0.10254991071054453,0.053861952772218474,-0.0062036893602643445,0.17471698823953513
-1.0,2.0,13.0,8.0,1.0,-3.0,0.0,1.0,0.19544159198797428,0.5427587841371808,0.11705952862673974,0.08152332793267594,-0.026822683778206145,0.19440521052768245
-2.0,-11.0,14.0,-8.0,-8.0,-6.0,-3.0,-1.0,0.1931911408275248,0.5460664881769957,0.12171629545930185,0.07750315771974267,-0.03721787447413938,0.19938881395835056
-11.0,3.0,-59.0,-12.0,-6.0,-2.0,-2.0,-2.0,0.1908862961276035,0.5499894037436254,0.12584002606671985,0.07262242759204329,-0.04472598853479925,0.20227778056290222
2.0,5.0,20.0,5.0,4.0,2.0,2.0,3.0,0.189060546398025,0.5535559022483751,0.12850368339907448,0.06828977776706775,-0.04768139085078925,0.20252943872624016
6.0,43.0,7.0,4.0,1.0,2.0,3.0,-1.0,0.1883743087634452,0.5556260242514963,0.12909147103527618,0.0652292245422475,-0.04583436914434809,0.20027662042808497
-5.0,25.0,5.0,-1.0,-8.0,-2.0,1.0,-1.0,0.189487449691576,0.5551323757185989,0.12735190533353435,0.06332964510182015,-0.0401325218140245,0.19614898327421612
2.0,23.0,-9.0,-2.0,0.0,-2.0,0.0,-1.0,0.1928499523839789,0.5513812718661378,0.12337441910213398,0.061880536457185976,-0.03212393836067616,0.1909678716781978
-5.0,-5.0,8.0,1.0,5.0,5.0,-2.0,-1.0,0.1985129383740134,0.5443035066494031,0.11752283623203308,0.060045117603259916,-0.02328583178145766,0.18544568559452107
2.0,-7.0,10.0,2.0,-1.0,-4.0,-1.0,-3.0,0.2060490064584226,0.5345413781162107,0.11035553690417155,0.0573370124423053,-0.014554114270631746,0.17999731823978038
0.0,-17.0,-34.0,-9.0,-8.0,-5.0,0.0,-6.0,0.2146135271837315,0.5233276862321589,0.10254991071054453,0.053861952772218474,-0.0062036893602643445,0.17471698823953513
-1.0,-24.0,-16.0,-7.0,-5.0,-2.0,-3.0,0.0,0.1908862961276035,0.5499894037436254,0.12584002606671985,0.07262242759204329,-0.04472598853479925,0.20227778056290222
3.0,12.0,7.0,-2.0,4.0,7.0,2.0,3.0,0.189060546398025,0.5535559022483751,0.12850368339907448,0.06828977776706775,-0.04768139085078925,0.20252943872624016
-2.0,20.0,-5.0,1.0,-1.0,2.0,-1.0,-3.0,0.1883743087634452,0.5556260242514963,0.12909147103527618,0.0652292245422475,-0.04583436914434809,0.20027662042808497
1.0,1.0,10.0,-4.0,-6.0,-7.0,-1.0,-2.0,0.189487449691576,0.5551323757185989,0.12735190533353435,0.06332964510182015,-0.0401325218140245,0.19614898327421612
1.0,-4.0,2.0,-6.0,-2.0,-2.0,-3.0,2.0,0.1928499523839789,0.5513812718661378,0.12337441910213398,0.061880536457185976,-0.03212393836067616,0.1909678716781978
1.0,-5.0,-16.0,1.0,5.0,4.0,1.0,1.0,0.1985129383740134,0.5443035066494031,0.11752283623203308,0.060045117603259916,-0.02328583178145766,0.18544568559452107
-1.0,4.0,18.0,4.0,1.0,-1.0,0.0,-3.0,0.2060490064584226,0.5345413781162107,0.11035553690417155,0.0573370124423053,-0.014554114270631746,0.17999731823978038
3.0,-6.0,5.0,0.0,-9.0,-6.0,-2.0,-1.0,0.2146135271837315,0.5233276862321589,0.10254991071054453,0.053861952772218474,-0.0062036893602643445,0.17471698823953513
-4.0,-2.0,18.0,3.0,-2.0,-2.0,0.0,-1.0,0.19544159198797428,0.5427587841371808,0.11705952862673974,0.08152332793267594,-0.026822683778206145,0.19440521052768245
-4.0,-4.0,-31.0,-10.0,3.0,3.0,0.0,1.0,0.1931911408275248,0.5460664881769957,0.12171629545930185,0.07750315771974267,-0.03721787447413938,0.19938881395835056
-2.0,0.0,-15.0,3.0,2.0,-1.0,-2.0,-2.0,0.1908862961276035,0.5499894037436254,0.12584002606671985,0.07262242759204329,-0.04472598853479925,0.20227778056290222
0.0,-7.0,28.0,4.0,-2.0,-5.0,1.0,0.0,0.189060546398025,0.5535559022483751,0.12850368339907448,0.06828977776706775,-0.04768139085078925,0.20252943872624016
-2.0,-3.0,4.0,1.0,-3.0,-2.0,-5.0,-2.0,0.1883743087634452,0.5556260242514963,0.12909147103527618,0.0652292245422475,-0.04583436914434809,0.20027662042808497
-7.0,-15.0,-5.0,-6.0,1.0,3.0,0.0,-1.0,0.189487449691576,0.5551323757185989,0.12735190533353435,0.06332964510182015,-0.0401325218140245,0.19614898327421612
3.0,6.0,-45.0,-7.0,-1.0,0.0,-1.0,-1.0,0.1928499523839789,0.5513812718661378,0.12337441910213398,0.061880536457185976,-0.03212393836067616,0.1909678716781978
-3.0,-7.0,10.0,6.0,-7.0,-8.0,-2.0,-1.0,0.1985129383740134,0.5443035066494031,0.11752283623203308,0.060045117603259916,-0.02328583178145766,0.18544568559452107
6.0,2.0,0.0,-1.0,1.0,0.0,-2.0,1.0,0.2060490064584226,0.5345413781162107,0.11035553690417155,0.0573370124423053,-0.014554114270631746,0.17999731823978038
13.0,2.0,-25.0,-4.0,3.0,5.0,-1.0,2.0,0.2146135271837315,0.5233276862321589,0.10254991071054453,0.053861952772218474,-0.0062036893602643445,0.17471698823953513
-3.0,-9.0,-75.0,-18.0,-6.0,-1.0,2.0,-1.0,0.19544159198797428,0.5427587841371808,0.11705952862673974,0.08152332793267594,-0.026822683778206145,0.19440521052768245
0.0,21.0,18.0,8.0,4.0,8.0,0.0,1.0,0.1931911408275248,0.5460664881769957,0.12171629545930185,0.07750315771974267,-0.03721787447413938,0.19938881395835056
1.0,-8.0,-24.0,0.0,-2.0,-2.0,1.0,-2.0,0.1908862961276035,0.5499894037436254,0.12584002606671985,0.07262242759204329,-0.04472598853479925,0.20227778056290222
-5.0,27.0,-35.0,-4.0,-7.0,-6.0,-6.0,-4.0,0.189060546398025,0.5535559022483751,0.12850368339907448,0.06828977776706775,-0.04768139085078925,0.20252943872624016
0.0,-7.0,20.0,1.0,0.0,-3.0,-3.0,2.0,0.1883743087634452,0.5556260242514963,0.12909147103527618,0.0652292245422475,-0.04583436914434809,0.20027662042808497
1.0,1.0,-12.0,-3.0,5.0,4.0,-1.0,-2.0,0.189487449691576,0.5551323757185989,0.12735190533353435,0.06332964510182015,-0.0401325218140245,0.19614898327421612
-4.0,3.0,2.0,-3.0,1.0,-1.0,2.0,-3.0,0.1928499523839789,0.5513812718661378,0.12337441910213398,0.061880536457185976,-0.03212393836067616,0.1909678716781978
0.0,-2.0,12.0,6.0,-7.0,-4.0,1.0,-3.0,0.1985129383740134,0.5443035066494031,0.11752283623203308,0.060045117603259916,-0.02328583178145766,0.18544568559452107
-4.0,-2.0,18.0,3.0,-2.0,-2.0,0.0,-1.0,0.2060490064584226,0.5345413781162107,0.11035553690417155,0.0573370124423053,-0.014554114270631746,0.17999731823978038
-4.0,-4.0,-31.0,-10.0,3.0,3.0,0.0,1.0,0.2146135271837315,0.5233276862321589,0.10254991071054453,0.053861952772218474,-0.0062036893602643445,0.17471698823953513
-2.0,10.0,1.0,-3.0,-3.0,-1.0,-4.0,-1.0,0.19544159198797428,0.5427587841371808,0.11705952862673974,0.08152332793267594,-0.026822683778206145,0.19440521052768245
2.0,0.0,-2.0,-3.0,6.0,4.0,-2.0,3.0,0.1931911408275248,0.5460664881769957,0.12171629545930185,0.07750315771974267,-0.03721787447413938,0.19938881395835056
-1.0,-1.0,4.0,3.0,2.0,-3.0,-1.0,-2.0,0.1908862961276035,0.5499894037436254,0.12584002606671985,0.07262242759204329,-0.04472598853479925,0.20227778056290222
-2.0,-14.0,-8.0,-6.0,-7.0,-3.0,0.0,-2.0,0.189060546398025,0.5535559022483751,0.12850368339907448,0.06828977776706775,-0.04768139085078925,0.20252943872624016
-4.0,-3.0,1.0,-2.0,-5.0,-4.0,2.0,2.0,0.1883743087634452,0.5556260242514963,0.12909147103527618,0.0652292245422475,-0.04583436914434809,0.20027662042808497
11.0,4.0,14.0,-2.0,6.0,4.0,0.0,2.0,0.189487449691576,0.5551323757185989,0.12735190533353435,0.06332964510182015,-0.0401325218140245,0.19614898327421612
-15.0,-36.0,12.0,-9.0,1.0,-3.0,-1.0,-5.0,0.1928499523839789,0.5513812718661378,0.12337441910213398,0.061880536457185976,-0.03212393836067616,0.1909678716781978
-4.0,-21.0,11.0,5.0,-7.0,-5.0,-3.0,0.0,0.1985129383740134,0.5443035066494031,0.11752283623203308,0.060045117603259916,-0.02328583178145766,0.18544568559452107
1.0,-9.0,6.0,-2.0,0.0,-1.0,-3.0,1.0,0.2060490064584226,0.5345413781162107,0.11035553690417155,0.0573370124423053,-0.014554114270631746,0.17999731823978038
-3.0,5.0,24.0,-1.0,4.0,1.0,0.0,3.0,0.2146135271837315,0.5233276862321589,0.10254991071054453,0.053861952772218474,-0.0062036893602643445,0.17471698823953513
-2.0,-6.0,20.0,1.0,-4.0,-5.0,-2.0,-1.0,0.19544159198797428,0.5427587841371808,0.11705952862673974,0.08152332793267594,-0.026822683778206145,0.19440521052768245
2.0,-3.0,-62.0,-3.0,4.0,6.0,-4.0,4.0,0.1931911408275248,0.5460664881769957,0.12171629545930185,0.07750315771974267,-0.03721787447413938,0.19938881395835056
8.0,5.0,11.0,6.0,0.0,0.0,1.0,0.0,0.1908862961276035,0.5499894037436254,0.12584002606671985,0.07262242759204329,-0.04472598853479925,0.20227778056290222
-1.0,-16.0,0.0,1.0,-7.0,-4.0,2.0,-5.0,0.189060546398025,0.5535559022483751,0.12850368339907448,0.06828977776706775,-0.04768139085078925,0.20252943872624016
-4.0,-2.0,-4.0,-8.0,-2.0,-1.0,-5.0,-1.0,0.1883743087634452,0.5556260242514963,0.12909147103527618,0.0652292245422475,-0.04583436914434809,0.20027662042808497
4.0,6.0,3.0,3.0,4.0,5.0,-1.0,1.0,0.189487449691576,0.5551323757185989,0.12735190533353435,0.06332964510182015,-0.0401325218140245,0.19614898327421612
2.0,1.0,12.0,7.0,0.0,1.0,0.0,2.0,0.1928499523839789,0.5513812718661378,0.12337441910213398,0.061880536457185976,-0.03212393836067616,0.1909678716781978
1.0,-3.0,7.0,2.0,-5.0,-6.0,1.0,-1.0,0.1985129383740134,0.5443035066494031,0.11752283623203308,0.060045117603259916,-0.02328583178145766,0.18544568559452107
-2.0,-2.0,-7.0,-12.0,-5.0,-3.0,-1.0,1.0,0.2060490064584226,0.5345413781162107,0.11035553690417155,0.0573370124423053,-0.014554114270631746,0.17999731823978038
-6.0,2.0,21.0,-7.0,1.0,2.0,-2.0,-2.0,0.2146135271837315,0.5233276862321589,0.10254991071054453,0.053861952772218474,-0.0062036893602643445,0.17471698823953513
0.0,14.0,5.0,-1.0,-2.0,-1.0,-3.0,-4.0,0.19544159198797428,0.5427587841371808,0.11705952862673974,0.08152332793267594,-0.026822683778206145,0.19440521052768245
-1.0,-17.0,-1.0,3.0,-6.0,-6.0,-3.0,0.0,0.1931911408275248,0.5460664881769957,0.12171629545930185,0.07750315771974267,-0.03721787447413938,0.19938881395835056
-4.0,2.0,20.0,-2.0,-2.0,-2.0,-2.0,-3.0,0.1908862961276035,0.5499894037436254,0.12584002606671985,0.07262242759204329,-0.04472598853479925,0.20227778056290222
-5.0,-7.0,-29.0,-7.0,0.0,5.0,-2.0,1.0,0.189060546398025,0.5535559022483751,0.12850368339907448,0.06828977776706775,-0.04768139085078925,0.20252943872624016
6.0,2.0,19.0,9.0,2.0,0.0,-1.0,-1.0,0.1883743087634452,0.5556260242514963,0.12909147103527618,0.0652292245422475,-0.04583436914434809,0.20027662042808497
1.0,39.0,0.0,3.0,-5.0,-3.0,3.0,0.0,0.189487449691576,0.5551323757185989,0.12735190533353435,0.06332964510182015,-0.0401325218140245,0.19614898327421612
-6.0,21.0,15.0,5.0,0.0,-3.0,-1.0,-3.0,0.1928499523839789,0.5513812718661378,0.12337441910213398,0.061880536457185976,-0.03212393836067616,0.1909678716781978
-1.0,5.0,17.0,2.0,3.0,5.0,3.0,2.0,0.1985129383740134,0.5443035066494031,0.11752283623203308,0.060045117603259916,-0.02328583178145766,0.18544568559452107
3.0,4.0,-13.0,0.0,1.0,-3.0,0.0,-1.0,0.2060490064584226,0.5345413781162107,0.11035553690417155,0.0573370124423053,-0.014554114270631746,0.17999731823978038
-1.0,-4.0,-25.0,-12.0,-3.0,-6.0,2.0,-4.0,0.2146135271837315,0.5233276862321589,0.10254991071054453,0.053861952772218474,-0.0062036893602643445,0.17471698823953513
-2.0,-29.0,8.0,-22.0,-7.0,-3.0,-4.0,-2.0,0.19544159198797428,0.5427587841371808,0.11705952862673974,0.08152332793267594,-0.026822683778206145,0.19440521052768245
1.0,19.0,-4.0,3.0,5.0,2.0,-1.0,-2.0,0.1931911408275248,0.5460664881769957,0.12171629545930185,0.07750315771974267,-0.03721787447413938,0.19938881395835056
1.0,-1.0,-31.0,0.0,-3.0,0.0,0.0,-2.0,0.1908862961276035,0.5499894037436254,0.12584002606671985,0.07262242759204329,-0.04472598853479925,0.20227778056290222
0.0,-10.0,-24.0,4.0,-2.0,-3.0,4.0,-1.0,0.189060546398025,0.5535559022483751,0.12850368339907448,0.06828977776706775,-0.04768139085078925,0.20252943872624016
1.0,-7.0,0.0,-11.0,-8.0,-1.0,-2.0,0.0,0.1883743087634452,0.5556260242514963,0.12909147103527618,0.0652292245422475,-0.04583436914434809,0.20027662042808497
1.0,24.0,12.0,8.0,4.0,5.0,-1.0,-1.0,0.189487449691576,0.5551323757185989,0.12735190533353435,0.06332964510182015,-0.0401325218140245,0.19614898327421612
3.0,-12.0,-4.0,2.0,1.0,0.0,0.0,1.0,0.1928499523839789,0.5513812718661378,0.12337441910213398,0.061880536457185976,-0.03212393836067616,0.1909678716781978
-2.0,-5.0,-1.0,2.0,-3.0,-3.0,1.0,1.0,0.1985129383740134,0.5443035066494031,0.11752283623203308,0.060045117603259916,-0.02328583178145766,0.18544568559452107
-3.0,-16.0,-32.0,-12.0,-4.0,-1.0,-1.0,-4.0,0.2060490064584226,0.5345413781162107,0.11035553690417155,0.0573370124423053,-0.014554114270631746,0.17999731823978038
1.0,8.0,-4.0,1.0,4.0,4.0,-3.0,1.0,0.2146135271837315,0.5233276862321589,0.10254991071054453,0.053861952772218474,-0.0062036893602643445,0.17471698823953513
-5.0,-18.0,7.0,8.0,0.0,-1.0,-1.0,-1.0,0.19544159198797428,0.5427587841371808,0.11705952862673974,0.08152332793267594,-0.026822683778206145,0.19440521052768245
-19.0,-11.0,-19.0,0.0,-6.0,-3.0,1.0,-4.0,0.1931911408275248,0.5460664881769957,0.12171629545930185,0.07750315771974267,-0.03721787447413938,0.19938881395835056
-9.0,-28.0,-57.0,-9.0,-7.0,-4.0,-2.0,-4.0,0.1908862961276035,0.5499894037436254,0.12584002606671985,0.07262242759204329,-0.04472598853479925,0.20227778056290222
2.0,6.0,1.0,3.0,2.0,4.0,-2.0,3.0,0.189060546398025,0.5535559022483751,0.12850368339907448,0.06828977776706775,-0.04768139085078925,0.20252943872624016
2.0,6.0,83.0,7.0,3.0,-3.0,-2.0,-4.0,0.1883743087634452,0.5556260242514963,0.12909147103527618,0.0652292245422475,-0.04583436914434809,0.20027662042808497
-2.0,-16.0,-13.0,-1.0,-5.0,-7.0,0.0,-1.0,0.189487449691576,0.5551323757185989,0.12735190533353435,0.06332964510182015,-0.0401325218140245,0.19614898327421612
-2.0,-3.0,-16.0,-12.0,-8.0,-6.0,-3.0,-2.0,0.1928499523839789,0.5513812718661378,0.12337441910213398,0.061880536457185976,-0.03212393836067616,0.1909678716781978
0.0,6.0,18.0,5.0,8.0,4.0,-2.0,2.0,0.1985129383740134,0.5443035066494031,0.11752283623203308,0.060045117603259916,-0.02328583178145766,0.18544568559452107
-10.0,0.0,-1.0,4.0,1.0,0.0,3.0,-4.0,0.2060490064584226,0.5345413781162107,0.11035553690417155,0.0573370124423053,-0.014554114270631746,0.17999731823978038
-11.0,-11.0,25.0,7.0,1.0,-4.0,-2.0,-7.0,0.2146135271837315,0.5233276862321589,0.10254991071054453,0.053861952772218474,-0.0062036893602643445,0.17471698823953513
-11.0,58.0,6.0,0.0,5.0,4.0,3.0,2.0,0.19544159198797428,0.5427587841371808,0.11705952862673974,0.08152332793267594,-0.026822683778206145,0.19440521052768245
-4.0,-8.0,24.0,4.0,-5.0,-6.0,0.0,-2.0,0.1931911408275248,0.5460664881769957,0.12171629545930185,0.07750315771974267,-0.03721787447413938,0.19938881395835056
-4.0,-20.0,-16.0,-3.0,-1.0,1.0,-1.0,-1.0,0.1908862961276035,0.5499894037436254,0.12584002606671985,0.07262242759204329,-0.04472598853479925,0.20227778056290222
